episode,duration_s,idle_start_s,idle_end_s,pause_s,n_pauses,short_idle_s,active_s,left_active_s,right_active_s,both_active_s,left_path_rad,right_path_rad,left_reversals,right_reversals,left_grip_events,right_grip_events,idle_s,idle_frac,action_lag_frames
146,30.0333,0.7333,0.0000,4.0000,5,1.2333,24.0667,8.1000,18.7000,2.7333,4.6044,12.0697,2,17,4,4,5.9667,0.1987,3
147,30.0333,1.5667,0.0000,3.8667,7,0.9667,23.6333,9.7000,14.2000,0.2667,5.9243,11.0252,7,20,4,4,6.4000,0.2131,3
148,30.0333,0.3667,0.5333,3.5667,8,0.5000,25.0667,11.2333,18.1000,4.2667,5.9773,12.9580,6,22,4,4,4.9667,0.1654,3
149,30.0333,1.3000,0.0000,3.6667,8,0.6333,24.4333,10.0333,17.2667,2.8667,4.8955,11.6709,5,23,4,4,5.6000,0.1865,3
150,30.0000,1.2000,0.1000,3.8667,7,1.3333,23.5000,7.8000,15.7000,0.0000,5.3818,11.3527,6,15,4,4,6.5000,0.2167,3
151,30.0000,0.8667,0.4000,3.2333,5,0.5667,24.9333,9.6000,18.1667,2.8333,5.5991,14.6320,3,27,4,4,5.0667,0.1689,3
152,30.0333,0.0667,2.5333,4.8667,8,0.8000,21.7667,11.0000,14.9667,4.2000,6.0419,11.6115,7,15,4,4,8.2667,0.2752,3
153,30.0000,1.1000,0.5333,5.0667,9,0.9000,22.4000,10.2000,15.7333,3.5333,5.8913,11.3310,6,22,4,4,7.6000,0.2533,3
154,30.0333,1.3667,0.0000,5.1000,11,0.7667,22.8000,8.8000,16.4667,2.4667,4.0442,12.3085,3,18,4,4,7.2333,0.2408,3
155,30.0333,0.0000,0.8333,7.2000,11,0.2000,21.8000,7.4333,15.9000,1.5333,3.7258,11.1534,4,28,4,2,8.2333,0.2741,3
156,30.0333,0.8000,0.0000,4.5000,7,1.3667,23.3667,9.9000,17.3333,3.8667,3.8963,12.3718,4,17,4,4,6.6667,0.2220,3
157,30.0000,1.6333,0.0000,3.2000,7,1.0000,24.1667,10.5333,18.0333,4.4000,5.5280,14.1724,10,17,4,4,5.8333,0.1944,3
158,30.0333,1.2000,0.9667,3.5000,7,1.3667,23.0000,11.8333,15.7000,4.5333,6.4957,12.6694,5,13,4,4,7.0333,0.2342,3
159,40.0333,0.8000,0.0000,4.9667,11,0.4333,33.8333,6.1000,30.1000,2.3667,3.1438,17.7104,3,31,2,8,6.2000,0.1549,2
160,40.0000,0.0000,0.0000,6.2000,10,1.9333,31.8667,7.5333,27.1000,2.7667,4.1983,15.0645,4,32,4,8,8.1333,0.2033,2
161,40.0000,1.0000,0.0000,5.7333,11,0.7333,32.5333,5.5667,28.1667,1.2000,3.6497,18.3067,3,46,4,8,7.4667,0.1867,2
162,40.0333,1.1000,0.9333,2.0000,6,1.5667,34.4333,7.1667,29.0000,1.7333,4.6088,19.0603,3,41,4,8,5.6000,0.1399,3
163,40.0333,0.7667,0.0000,4.0333,9,1.3667,33.8667,9.5000,27.4667,3.1000,5.2740,19.7679,3,42,4,8,6.1667,0.1540,3
164,40.0333,0.0000,0.0000,2.9333,6,1.0667,36.0333,7.4000,31.1000,2.4667,3.5349,23.4594,6,52,4,8,4.0000,0.0999,2
165,40.0000,1.4667,1.8667,5.9667,12,1.3000,29.4000,8.9333,22.8667,2.4000,5.4105,14.5516,4,40,4,6,10.6000,0.2650,2
166,40.0000,1.8667,0.0000,4.8000,12,1.0333,32.3000,5.8667,26.7000,0.2667,3.8262,16.0495,5,31,2,6,7.7000,0.1925,2
167,40.0333,0.4000,0.2000,2.6667,6,1.8000,34.9667,8.1000,29.4667,2.6000,4.6623,20.8082,9,47,3,6,5.0667,0.1266,3
168,40.0000,0.5667,0.6333,4.9667,11,1.3333,32.5000,4.7333,28.4333,0.6667,3.1254,16.9687,1,41,2,2,7.5000,0.1875,2
169,40.0000,0.0000,3.2667,5.4000,10,0.8667,30.4667,8.8000,25.4667,3.8000,5.0467,14.7683,3,34,4,6,9.5333,0.2383,2
170,40.0000,1.0333,0.0000,3.9333,8,1.2333,33.8000,10.7000,28.0000,4.9000,5.7476,17.4294,3,47,4,8,6.2000,0.1550,2
171,40.0000,0.0000,0.0000,5.7333,10,1.1667,33.1000,8.4000,26.0333,1.3333,5.5113,19.5158,6,44,4,6,6.9000,0.1725,2
172,40.0000,1.1333,0.0000,2.5333,5,0.5667,35.7667,8.3000,30.1333,2.6667,4.9932,19.9915,4,39,4,6,4.2333,0.1058,2
173,40.0000,1.4000,1.2667,3.5333,9,1.1667,32.6333,8.4667,28.5333,4.3667,5.8584,18.1450,3,43,4,6,7.3667,0.1842,2
174,40.0333,1.7667,0.0000,4.4333,10,1.4667,32.3667,9.8000,25.4667,2.9000,6.1444,16.6110,4,39,4,6,7.6667,0.1915,2
175,40.0000,0.3667,1.7000,4.8667,9,1.9000,31.1667,8.6000,27.2667,4.7000,5.5958,20.0566,3,43,4,6,8.8333,0.2208,2
176,40.0000,1.1333,0.2333,6.9000,11,1.0667,30.6667,9.7000,24.1333,3.1667,5.8129,14.4171,4,25,4,6,9.3333,0.2333,2
177,40.0000,0.8667,3.8000,1.7667,5,1.6333,31.9333,9.2667,25.1667,2.5000,5.3533,16.7520,3,38,4,6,8.0667,0.2017,2
