episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
49,40.0333,40.0333,31.9667,1.2523,11,10,0.6851,1.2165,1.6975,0.7392,0.7771,8.2967,4.4275,3
50,40.0333,39.7333,32.9667,1.2144,9,8,0.9778,1.6117,1.7532,0.8757,0.7890,2.0422,2.9308,3
51,40.0333,40.0333,34.9667,1.1449,9,8,0.7579,1.2129,1.6942,0.8572,0.7806,2.4492,2.3173,3
52,40.0000,39.2667,34.4333,1.1617,10,9,0.4008,1.0829,0.9667,0.8449,0.6924,7.4864,5.3456,3
53,40.0000,39.5667,31.7333,1.2605,16,15,0.7941,1.6105,2.0770,0.8757,0.7756,3.4895,3.9688,3
54,40.0333,40.0333,34.6333,1.1559,14,13,0.7344,1.2315,1.6374,0.8491,0.7957,12.4387,9.7827,3
55,40.0333,39.7667,31.9333,1.2537,15,14,0.8789,1.5965,1.7074,0.7863,0.7651,3.1240,4.1715,3
56,40.0333,38.4333,31.2000,1.2831,14,13,0.8793,1.1289,1.8125,0.7409,0.7797,1.7732,1.8734,3
57,40.0000,39.4000,28.9333,1.3825,21,20,0.6935,1.1025,1.0004,0.8250,0.6923,2.0382,2.7416,3
58,40.0000,34.6000,28.6667,1.3953,12,11,0.9860,1.2445,1.5171,0.8427,0.7637,1.7970,2.1723,3
59,40.0333,39.9333,31.7333,1.2616,12,11,0.8540,1.3867,1.5608,0.7502,0.7732,3.6520,4.5441,3
60,40.0000,38.8333,29.4667,1.3575,17,16,0.9310,1.5582,1.9219,0.7875,0.7283,1.7708,2.4747,3
61,40.0333,40.0333,29.0000,1.3805,14,13,0.9483,1.5579,2.0904,0.7792,0.7709,1.9772,2.6272,3
62,40.0000,39.6667,33.1667,1.2060,9,8,0.9518,1.3372,1.9080,0.7968,0.8005,3.4418,2.6020,3
63,40.0000,38.6667,28.4333,1.4068,13,12,0.8195,1.1268,1.4099,0.8282,0.7167,4.6281,2.3521,3
64,40.0000,39.5000,31.4000,1.2739,12,11,0.9745,1.4538,1.5449,0.8333,0.7384,3.2205,3.1162,3
65,40.0000,38.3000,30.4333,1.3143,18,17,0.9551,1.1503,1.2591,0.8810,0.7169,2.1195,1.5887,3
66,40.0333,38.0333,28.0000,1.4298,16,15,0.8976,1.1340,1.0700,0.7927,0.6913,2.6279,2.0044,3
67,40.0000,39.7333,32.5000,1.2308,15,14,0.6451,1.0620,1.1074,0.8310,0.6996,2.6760,2.3571,3
68,40.0333,39.3333,32.1667,1.2446,11,10,0.9917,1.3512,1.6384,0.8625,0.7411,1.7514,2.2254,3
69,40.0333,38.9333,32.1000,1.2471,8,7,0.9969,1.1537,1.6144,0.8910,0.7345,1.8492,2.1520,3
70,40.0000,39.4333,31.5000,1.2698,14,13,0.8434,1.2941,1.7385,0.8757,0.7914,1.7968,2.7118,3
71,40.0333,39.3333,28.9667,1.3820,13,12,0.8481,1.0420,1.0796,0.7666,0.7064,2.2574,2.1241,3
72,40.0000,39.4000,30.9333,1.2931,11,10,0.8922,1.1507,1.6027,0.8462,0.7591,5.1324,2.9654,3
73,40.0333,40.0333,37.0000,1.0820,10,9,0.3054,1.1225,1.0771,0.8736,0.6880,7.3250,3.6131,3
74,40.0000,38.8667,35.2000,1.1364,8,7,0.5350,1.1058,1.4124,0.9057,0.7483,6.7510,3.8955,3
75,40.0333,38.3333,35.8333,1.1172,7,6,0.3060,1.1545,1.5599,0.8671,0.6832,8.6713,7.1828,3
76,40.0333,38.4667,32.2333,1.2420,11,10,0.5853,1.2870,0.9883,0.7911,0.6911,5.8116,3.2415,3
77,40.0000,40.0000,34.5000,1.1594,11,10,0.5614,1.1918,1.5324,0.7571,0.7352,4.4937,2.9864,3
78,40.0000,37.4667,29.3333,1.3636,10,9,0.8500,1.3098,1.4274,0.8055,0.7214,2.4310,2.7702,3
79,40.0333,40.0333,35.0667,1.1416,8,7,0.7120,1.1520,1.4190,0.8930,0.7672,5.5533,3.1853,3
80,40.0333,39.7333,32.1333,1.2459,11,10,0.9564,1.3688,1.8171,0.8820,0.7376,2.5637,2.4414,3
81,40.0333,39.7667,32.1000,1.2471,12,11,0.9512,1.5108,1.4780,0.8707,0.7736,2.8448,3.3787,3
82,40.0000,39.9000,35.4333,1.1289,9,8,0.7554,2.1964,1.2182,0.9200,0.7365,3.9570,3.7602,3
83,40.0333,40.0333,34.8667,1.1482,10,9,0.5105,1.2106,1.0869,0.7388,0.7494,5.2232,4.2988,3
84,40.0333,40.0333,38.3000,1.0453,6,5,0.3046,1.1604,1.0844,0.9667,0.6946,6.2144,3.6772,3
85,40.0000,39.3333,33.7667,1.1846,9,8,0.7206,1.2320,1.3656,0.8845,0.7810,6.2220,3.7492,3
86,40.0333,39.8333,36.5667,1.0948,7,6,0.6418,1.2367,1.3392,0.9318,0.7293,4.3135,2.7623,3
87,40.0333,40.0333,31.8000,1.2589,14,13,0.7233,1.0857,1.0498,0.8974,0.7047,2.7766,2.5649,3
88,40.0333,39.0333,32.1333,1.2459,9,8,0.9108,1.0994,1.2238,0.8834,0.7214,1.9636,2.2119,3
89,40.0000,40.0000,34.3333,1.1650,7,6,0.5437,1.1200,1.0812,0.8565,0.7178,5.6722,2.9162,3
90,40.0333,39.9000,34.5667,1.1581,14,13,0.6191,1.2592,1.4308,0.9245,0.7297,3.8564,2.9763,3
91,40.0000,39.9000,32.8333,1.2183,13,12,0.7797,1.2478,1.7539,0.8208,0.7531,3.2744,3.2282,3
92,40.0000,39.1333,33.3333,1.2000,13,12,0.7470,1.2566,1.1256,0.8479,0.7337,2.6537,2.3061,3
93,40.0000,39.4333,30.0000,1.3333,16,15,0.7944,1.1339,1.6906,0.8543,0.7500,1.9991,2.1951,3
94,40.0333,40.0333,31.8000,1.2589,13,12,0.7757,1.1247,1.1471,0.8250,0.7148,4.8518,3.1529,3
95,40.0333,40.0333,32.1667,1.2446,14,13,0.4591,1.0401,1.0294,0.7705,0.6664,2.5099,2.3818,3
96,40.0333,38.6667,29.7333,1.3464,16,15,0.9585,1.2937,1.5935,0.8645,0.7530,1.8663,2.2756,3
97,40.0333,39.2667,33.5333,1.1938,14,13,0.8270,1.1247,1.1132,0.9405,0.7192,2.7463,2.4763,3
98,40.0333,39.2000,31.6333,1.2655,11,10,0.8925,1.2452,1.4555,0.8994,0.7070,3.4238,2.2310,3
99,40.0000,36.8667,30.7000,1.3029,6,5,0.9848,1.1415,1.1385,0.9130,0.7401,2.4062,2.0959,3
100,40.0333,40.0333,37.3000,1.0733,9,8,0.4164,1.1342,1.2395,0.8318,0.7332,6.4021,3.4801,3
101,40.0333,39.2333,36.0000,1.1120,8,7,0.6898,1.0761,1.1317,0.9101,0.7617,3.2504,4.4082,3
102,40.0333,39.8000,37.9667,1.0544,5,4,0.5979,1.2678,1.6850,0.9697,0.7949,5.6459,3.2563,3
