episode,duration_s,idle_start_s,idle_end_s,pause_s,n_pauses,short_idle_s,active_s,left_active_s,right_active_s,both_active_s,left_path_rad,right_path_rad,left_reversals,right_reversals,left_grip_events,right_grip_events,idle_s,idle_frac,action_lag_frames
38,40.0333,0.7000,0.0000,12.5000,15,1.0667,25.7667,19.9667,15.2667,9.4667,7.5295,5.2936,12,11,2,2,14.2667,0.3564,3
39,40.0000,1.5667,0.4000,7.0667,11,2.2667,28.7000,16.6000,13.5000,1.4000,8.0184,5.6272,15,8,2,2,11.3000,0.2825,3
40,40.0333,0.3333,4.9333,4.3667,8,1.1667,29.2333,16.5667,16.9000,4.2333,8.3674,6.6772,19,17,2,2,10.8000,0.2698,3
41,40.0333,0.7333,0.0000,16.3000,7,0.4000,22.6000,11.5333,14.4000,3.3333,5.5726,6.5048,8,10,2,4,17.4333,0.4355,3
42,40.0000,0.0000,0.2000,8.6333,15,2.0000,29.1667,15.7333,15.1000,1.6667,6.5947,6.5905,13,7,2,2,10.8333,0.2708,3
43,40.0333,0.0000,0.7000,5.9667,12,1.5333,31.8333,18.9667,16.1333,3.2667,7.7404,6.1237,18,13,2,4,8.2000,0.2048,3
44,40.0000,0.2667,1.6000,3.6333,8,1.5333,32.9667,31.7333,3.6000,2.3667,12.8864,1.5379,22,3,4,0,7.0333,0.1758,3
45,40.0333,0.0000,0.3333,5.3000,8,2.7333,31.6667,30.3000,2.0333,0.6667,14.4235,0.9427,33,0,4,0,8.3667,0.2090,3
46,40.0333,0.0000,0.0000,8.1000,17,2.3667,29.5667,0.9000,29.2000,0.5333,0.6113,10.9478,0,38,0,5,10.4667,0.2614,3
47,40.0333,0.0000,0.0000,2.9333,7,0.7333,36.3667,16.4000,24.0333,4.0667,7.5865,9.7171,11,39,2,2,3.6667,0.0916,3
48,40.0000,0.0333,0.0000,3.6333,6,1.0000,35.3333,26.2333,13.8000,4.7000,12.8522,5.9625,26,13,2,1,4.6667,0.1167,3
49,40.0333,0.0000,0.0000,7.1667,10,1.4667,31.4000,2.8667,30.4667,1.9333,1.0443,15.4933,1,34,0,6,8.6333,0.2157,3
50,40.0333,0.0000,0.4000,4.5000,8,1.8667,33.2667,2.3000,32.8000,1.8333,0.8366,17.5338,0,29,0,8,6.7667,0.1690,3
51,40.0333,0.0000,0.0000,4.0000,8,0.8667,35.1667,14.2000,24.3333,3.3667,8.7993,10.7125,13,26,2,4,4.8667,0.1216,3
52,40.0000,0.7333,0.2000,4.0333,9,1.3333,33.7000,14.5333,21.8333,2.6667,7.3751,10.8027,14,31,2,2,6.3000,0.1575,3
53,40.0000,0.5333,0.0000,9.4000,15,2.0333,28.0333,9.5000,18.5667,0.0333,4.7241,9.6363,8,19,1,2,11.9667,0.2992,3
54,40.0333,0.0000,0.0000,5.8667,13,1.6000,32.5667,14.5667,19.1000,1.1000,7.9794,9.2842,15,21,2,2,7.4667,0.1865,3
55,40.0333,0.3667,0.0000,7.9333,14,1.3000,30.4333,0.1000,30.4333,0.1000,0.5127,13.1716,0,29,0,4,9.6000,0.2398,3
56,40.0333,1.7000,0.0000,6.8333,13,1.7333,29.7667,0.0000,29.7667,0.0000,0.4654,12.0315,0,30,0,4,10.2667,0.2565,3
57,40.0000,0.2667,0.5333,13.9667,20,0.4000,24.8333,24.6667,0.5000,0.3333,13.1291,0.4957,23,0,4,0,15.1667,0.3792,3
58,40.0000,0.6667,4.9333,5.2333,11,0.6333,28.5333,15.8000,14.2333,1.5000,8.0199,6.7884,13,15,1,2,11.4667,0.2867,3
59,40.0333,0.2000,0.0667,6.2333,11,1.5000,32.0333,14.6000,17.5333,0.1000,6.5181,8.0285,15,15,2,2,8.0000,0.1998,3
60,40.0000,1.1667,0.2000,9.6000,16,0.5667,28.4667,13.9333,15.0333,0.5000,6.0907,6.7193,7,15,2,2,11.5333,0.2883,3
61,40.0333,0.0000,0.0000,9.1333,13,1.9333,28.9667,15.1333,14.8333,1.0000,6.2337,6.7912,7,14,2,4,11.0667,0.2764,3
62,40.0000,0.4333,0.0000,2.8333,8,1.9667,34.7667,18.6333,22.5000,6.3667,8.3056,8.7400,19,14,2,2,5.2333,0.1308,3
63,40.0000,0.9667,0.5667,8.4667,12,1.7667,28.2333,12.9333,16.6333,1.3333,5.8443,7.3254,12,10,2,2,11.7667,0.2942,3
64,40.0000,0.6000,0.0000,4.9000,11,2.1333,32.3667,7.6667,24.7333,0.0333,4.5415,10.0702,6,29,1,4,7.6333,0.1908,3
65,40.0000,1.6667,0.2333,8.1667,17,0.5000,29.4333,29.4333,0.6000,0.6000,13.3434,0.5835,33,0,4,0,10.5667,0.2642,3
