episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max
50,40.0333,39.7333,36.4667,1.0978,9,8,0.5814,1.5708,1.8580,0.7705,0.6805,2.0422,2.9308
51,40.0333,40.0333,37.1333,1.0781,9,8,0.1544,0.9464,0.9046,0.6101,0.5890,2.4492,2.3173
52,40.0000,39.2667,35.5000,1.1268,10,9,0.3493,1.0421,0.9366,0.7496,0.5735,7.4864,5.3456
53,40.0000,39.5667,33.5000,1.1940,16,15,0.4915,1.5321,1.7371,0.6802,0.6379,3.4895,3.9688
54,40.0333,40.0333,36.2333,1.1049,14,13,0.3220,1.0569,1.0749,0.6570,0.5938,12.4387,9.7827
55,40.0333,39.7667,34.1333,1.1729,15,14,0.7129,1.5788,1.5998,0.7185,0.6557,3.1240,4.1715
56,40.0333,38.4333,33.6000,1.1915,14,13,0.7262,1.1008,1.7234,0.6562,0.6562,1.7732,1.8734
57,40.0000,39.4000,29.9333,1.3363,21,20,0.4053,1.0063,1.1048,0.5378,0.5680,2.0382,2.7416
58,40.0000,34.6000,30.8000,1.2987,12,11,0.4188,1.0095,1.1724,0.6980,0.6602,1.7970,2.1723
59,40.0333,39.9333,34.4667,1.1615,12,11,0.8646,1.4044,1.5788,0.6849,0.7109,3.6520,4.5441
60,40.0000,38.8333,31.6333,1.2645,17,16,0.7429,1.0667,1.3903,0.7017,0.6173,1.7708,2.4747
61,40.0333,40.0333,31.5667,1.2682,14,13,0.8437,1.5563,1.8052,0.6962,0.6894,1.9772,2.6272
62,40.0000,39.6667,35.4667,1.1278,9,8,0.3252,0.8390,1.1713,0.4363,0.5819,3.4418,2.6020
63,40.0000,38.6667,30.7667,1.3001,13,12,0.8332,1.0872,1.3446,0.7571,0.6381,4.6281,2.3521
64,40.0000,39.5000,34.2333,1.1685,12,11,0.8033,1.4493,1.4575,0.6998,0.6414,3.2205,3.1162
65,40.0000,38.3000,32.4667,1.2320,18,17,0.7413,1.0713,1.0496,0.7753,0.6244,2.1195,1.5887
66,40.0333,38.0333,30.0000,1.3344,16,15,0.8433,1.1342,0.9903,0.7269,0.6017,2.6279,2.0044
67,40.0000,39.7333,34.2333,1.1685,15,14,0.6602,1.0560,1.0284,0.7544,0.6185,2.6760,2.3571
68,40.0333,39.3333,34.7333,1.1526,11,10,0.6775,1.0694,1.0502,0.7369,0.6277,1.7514,2.2254
69,40.0333,38.9333,35.3333,1.1330,8,7,0.7972,1.1600,1.5841,0.8134,0.6570,1.8492,2.1520
70,40.0000,39.4333,33.6667,1.1881,14,13,0.6436,1.0253,1.1568,0.7501,0.6360,1.7968,2.7118
71,40.0333,39.3333,31.4667,1.2722,13,12,0.8602,1.0174,1.1436,0.6883,0.6187,2.2574,2.1241
72,40.0000,39.4000,33.9000,1.1799,11,10,0.9027,1.1337,1.5491,0.7752,0.6694,5.1324,2.9654
73,40.0333,40.0333,37.3667,1.0714,10,9,0.1802,0.9960,0.8379,0.6618,0.5441,7.3250,3.6131
74,40.0000,38.8667,36.7000,1.0899,8,7,0.0872,1.0058,0.8494,0.2913,0.4274,6.7510,3.8955
75,40.0333,38.3333,36.5333,1.0958,7,6,0.1068,0.4055,0.6821,0.2242,0.3721,8.6713,7.1828
76,40.0333,38.4667,33.5333,1.1938,11,10,0.3956,1.2892,0.9374,0.6514,0.5692,5.8116,3.2415
77,40.0000,40.0000,36.2333,1.1040,11,10,0.5409,1.2053,1.4721,0.6833,0.6552,4.4937,2.9864
78,40.0000,37.4667,31.8667,1.2552,10,9,0.8619,1.2758,1.3568,0.7280,0.6345,2.4310,2.7702
79,40.0333,40.0333,36.9333,1.0839,8,7,0.0912,0.6603,1.5004,0.4088,0.4292,5.5533,3.1853
80,40.0333,39.7333,34.8000,1.1504,11,10,0.6849,1.3373,1.7710,0.6969,0.6435,2.5637,2.4414
81,40.0333,39.7667,34.5333,1.1593,12,11,0.4035,1.0018,0.9033,0.6379,0.6174,2.8448,3.3787
82,40.0000,39.9000,36.8667,1.0850,9,8,0.3318,1.1771,1.0383,0.7340,0.6221,3.9570,3.7602
83,40.0333,40.0333,35.8000,1.1182,10,9,0.1890,0.8319,0.9013,0.4835,0.5346,5.2232,4.2988
84,40.0333,40.0333,38.9333,1.0283,6,5,0.0334,0.1586,0.7767,0.0851,0.3096,6.2144,3.6772
85,40.0000,39.3333,36.5000,1.0959,9,8,0.6064,1.1739,1.2232,0.8343,0.6805,6.2220,3.7492
86,40.0333,39.8333,37.6333,1.0638,7,6,0.2002,0.9860,1.0977,0.7254,0.6409,4.3135,2.7623
87,40.0333,40.0333,33.9000,1.1809,14,13,0.6745,1.0478,0.9680,0.8273,0.6183,2.7766,2.5649
88,40.0333,39.0333,35.1333,1.1395,9,8,0.7049,1.0926,1.1135,0.7905,0.6321,1.9636,2.2119
89,40.0000,40.0000,36.1333,1.1070,7,6,0.5664,1.1324,0.9680,0.8005,0.6421,5.6722,2.9162
90,40.0333,39.9000,35.8333,1.1172,14,13,0.4140,1.2486,1.4331,0.7209,0.6485,3.8564,2.9763
91,40.0000,39.9000,35.3000,1.1331,13,12,0.5656,1.2450,1.7018,0.7359,0.6686,3.2744,3.2282
92,40.0000,39.1333,35.1333,1.1385,13,12,0.3634,1.0963,0.8502,0.5993,0.6105,2.6537,2.3061
93,40.0000,39.4333,32.2333,1.2410,16,15,0.8097,1.1338,1.6773,0.7930,0.6511,1.9991,2.1951
94,40.0333,40.0333,33.6667,1.1891,13,12,0.6000,1.1315,1.1225,0.7364,0.6078,4.8518,3.1529
95,40.0333,40.0333,33.2000,1.2058,14,13,0.4779,1.0331,0.9345,0.7190,0.6106,2.5099,2.3818
96,40.0333,38.6667,31.8000,1.2589,16,15,0.4434,1.1475,1.5259,0.6409,0.5853,1.8663,2.2756
97,40.0333,39.2667,35.0000,1.1438,14,13,0.5038,1.1005,0.9894,0.7323,0.6165,2.7463,2.4763
98,40.0333,39.2000,34.1333,1.1729,11,10,0.7246,1.2411,1.0412,0.8127,0.6155,3.4238,2.2310
99,40.0000,36.8667,33.8333,1.1823,6,5,0.7931,1.1580,1.0965,0.8206,0.6555,2.4062,2.0959
100,40.0333,40.0333,38.3333,1.0443,9,8,0.2200,1.1059,0.9854,0.6324,0.5813,6.4021,3.4801
101,40.0333,39.2333,37.8000,1.0591,8,7,0.1764,0.9695,0.8895,0.5979,0.6286,3.2504,4.4082
102,40.0333,39.8000,38.7000,1.0345,5,4,0.1447,1.1503,0.9593,0.8183,0.6103,5.6459,3.2563
103,40.0000,39.3000,35.1667,1.1374,10,9,0.3318,1.0370,0.9180,0.6057,0.6210,5.0966,3.3296
104,40.0333,39.8667,37.5000,1.0676,7,6,0.2258,1.1759,0.7969,0.8958,0.5141,2.6541,2.2900
105,40.0000,39.0667,35.5667,1.1246,9,8,0.5595,1.1867,0.8963,0.7618,0.6353,6.4268,3.4715
106,40.0333,40.0333,38.7333,1.0336,6,5,0.2565,1.2358,1.6436,0.9556,0.5749,6.3761,3.6112
107,40.0000,39.8000,34.8667,1.1472,8,7,0.5746,1.1129,0.9775,0.7527,0.6375,2.0094,2.9736
108,40.0333,39.6333,37.9333,1.0554,4,3,0.3128,1.0703,0.9538,0.6591,0.6544,3.0244,3.8262
109,40.0333,40.0333,38.6000,1.0371,6,5,0.0440,0.2783,0.3207,0.1421,0.2412,9.8037,8.1177
110,40.0333,39.3667,34.8000,1.1504,11,10,0.7069,1.1480,1.3999,0.7447,0.6386,2.5537,2.1798
111,40.0333,38.0667,35.4000,1.1309,6,5,0.2100,1.0136,0.9179,0.7098,0.6360,2.2960,2.4472
112,40.0000,38.6667,34.9333,1.1450,10,9,0.3674,1.0365,0.9125,0.7537,0.6064,2.3938,2.0237
113,40.0333,38.8333,31.9000,1.2550,17,16,0.4953,1.0080,0.9391,0.6963,0.6280,5.7912,5.6937
114,40.0333,40.0333,36.0333,1.1110,13,12,0.3154,1.1021,1.4131,0.6616,0.6175,2.2688,2.2249
115,40.0333,40.0333,34.1000,1.1740,12,11,0.8974,1.1848,1.3652,0.7912,0.6587,1.9366,2.0239
116,40.0333,40.0333,36.9333,1.0839,9,8,0.7175,1.1386,1.0498,0.8664,0.6533,2.8491,4.1578
117,40.0000,38.1333,35.3333,1.1321,6,5,0.6255,1.0572,1.0324,0.8017,0.6492,2.7488,2.3805
118,40.0000,39.9333,37.2333,1.0743,7,6,0.7825,1.3104,1.5474,0.8723,0.6650,3.0058,2.6823
119,40.0000,40.0000,37.3667,1.0705,8,7,0.3782,1.1478,1.0419,0.7657,0.6083,2.8008,2.3848
120,40.0333,36.9667,28.7667,1.3917,11,10,0.6848,0.9421,1.2085,0.5520,0.6367,4.6303,3.2875
121,40.0000,39.2000,32.9667,1.2133,14,13,0.6694,0.9978,1.2767,0.5482,0.6392,5.5213,5.2273
122,40.0000,40.0000,33.0667,1.2097,18,17,0.7177,1.0800,1.3429,0.6161,0.6373,1.9251,2.1030
123,40.0333,33.8333,28.9000,1.3852,11,10,0.8662,1.0996,0.9451,0.7232,0.6580,1.7168,1.6722
124,40.0000,40.0000,32.7000,1.2232,16,15,0.9623,1.1649,1.0190,0.6985,0.6493,4.3352,2.6961
125,40.0333,38.3667,32.3000,1.2394,15,14,0.7317,1.0785,1.0198,0.6370,0.6272,1.4735,1.6349
126,40.0333,37.1333,31.5333,1.2696,12,11,0.6956,1.4720,1.0398,0.6562,0.6298,4.0679,2.8482
127,40.0000,38.0667,32.9333,1.2146,9,8,0.6154,1.0781,0.9486,0.6713,0.6272,1.9362,1.6022
128,40.0333,37.9333,29.4667,1.3586,14,13,0.8281,1.0213,0.9130,0.6258,0.6350,2.5244,3.3284
129,40.0000,39.5333,30.9667,1.2917,19,18,0.7417,1.0894,0.9735,0.6678,0.6093,1.5340,1.4701
130,40.0333,38.9667,27.3667,1.4629,17,16,0.7783,1.0219,0.9247,0.6596,0.6166,1.4813,1.4382
131,40.0000,38.7667,29.2000,1.3699,20,19,0.9349,1.0152,1.1555,0.6090,0.6380,1.3705,1.3889
132,40.0333,40.0000,29.7667,1.3449,18,17,0.7738,1.0465,1.0844,0.6500,0.6080,1.3276,1.5850
133,40.0333,36.9333,28.4000,1.4096,15,14,0.8181,1.0080,1.0290,0.6578,0.6344,1.2946,1.4492
134,40.0000,40.0000,31.5000,1.2698,22,21,0.6656,1.4965,1.7322,0.5403,0.6032,4.2687,3.0470
135,40.0000,40.0000,31.2333,1.2807,20,19,0.7513,1.0723,1.0310,0.6111,0.6327,1.4561,1.5990
136,40.0000,36.5667,29.7333,1.3453,17,16,0.7567,1.0330,0.9688,0.6498,0.6190,1.7200,1.7667
137,40.0000,37.6333,29.2667,1.3667,17,16,0.8064,1.0483,1.0110,0.6755,0.6429,1.5728,1.7057
138,40.0000,39.6667,30.9000,1.2945,17,16,0.8123,1.1118,0.9724,0.6630,0.6242,3.3929,2.3516
139,40.0333,40.0333,32.3667,1.2369,12,11,0.8363,1.0402,0.9714,0.7169,0.6474,1.5543,1.6830
140,40.0333,38.7000,30.3667,1.3183,14,13,0.9177,1.0334,0.9883,0.7280,0.6254,1.4261,1.4645
141,40.0000,40.0000,32.0667,1.2474,17,16,0.7630,1.1060,1.4027,0.7032,0.6382,2.3928,3.3495
142,40.0000,39.3667,33.1000,1.2085,8,7,0.4582,1.0762,0.9891,0.6528,0.6331,2.4065,2.2922
143,40.0333,40.0333,33.1667,1.2070,12,11,0.9658,1.2774,1.0670,0.7943,0.6098,5.6216,3.0308
144,40.0333,39.0333,32.7667,1.2218,11,10,0.9949,1.1248,1.0522,0.8291,0.6154,2.3105,1.8951
145,40.0000,40.0000,33.6333,1.1893,13,12,0.5689,1.3641,1.5350,0.7052,0.6217,2.2986,2.4461
146,40.0333,40.0333,32.4000,1.2356,15,14,0.8354,1.0254,1.0199,0.6500,0.6443,5.7401,3.5974
147,40.0333,39.6667,31.8333,1.2576,14,13,0.8356,1.0644,0.9434,0.6520,0.6266,1.6208,1.5839
148,40.0333,38.6667,30.2000,1.3256,14,13,0.7373,1.0778,0.9372,0.6718,0.6218,1.9860,2.1584
149,40.0000,40.0000,31.4667,1.2712,15,14,0.8549,1.1113,1.0515,0.7252,0.6194,2.4845,2.5078
150,40.0333,36.6333,30.7667,1.3012,12,11,0.6522,1.3043,1.3425,0.6551,0.6518,2.4251,1.9812
151,40.0333,40.0333,29.2000,1.3710,21,20,0.8311,1.1597,1.3210,0.5898,0.6163,3.2166,1.9963
152,40.0333,39.9333,36.4000,1.0998,11,10,0.5998,1.5551,1.7439,0.7409,0.6678,3.5432,2.9062
153,40.0333,39.2333,32.9333,1.2156,9,8,0.4565,0.9446,0.9555,0.5839,0.6103,3.8583,2.8860
154,40.0333,40.0333,38.2000,1.0480,7,6,0.0681,0.4229,0.9119,0.2117,0.3104,4.5371,2.7057
155,40.0333,39.8000,35.1667,1.1384,12,11,0.6445,1.0189,0.9569,0.6252,0.6468,2.9992,3.3235
156,40.0333,39.6333,30.3000,1.3212,16,15,0.9076,1.0944,1.1875,0.6932,0.6002,2.4769,2.1319
157,40.0000,40.0000,33.4667,1.1952,12,11,0.5807,1.0226,0.9617,0.6696,0.6249,7.1612,3.4823
158,40.0333,38.6667,34.8667,1.1482,10,9,0.7667,1.0776,1.0011,0.7270,0.6641,2.0616,2.0343
159,40.0333,39.4000,31.6333,1.2655,14,13,0.8377,1.0565,1.2777,0.7056,0.6412,1.7314,1.9969
160,40.0333,38.0667,34.5000,1.1604,9,8,0.4763,1.0747,0.8955,0.6947,0.6535,4.1656,2.5719
161,40.0333,40.0333,35.3333,1.1330,13,12,0.8981,1.0590,1.0885,0.7430,0.6713,1.7238,1.7084
162,40.0333,39.8333,31.9000,1.2550,11,10,0.8370,1.2701,0.9358,0.6989,0.6198,2.6507,2.1414
163,40.0333,35.2000,29.3667,1.3632,11,10,0.8320,1.2746,1.0394,0.7130,0.6124,3.9025,2.8660
164,40.0333,38.6333,31.6667,1.2642,12,11,0.7874,1.0927,1.2745,0.6786,0.6331,3.2553,2.7735
165,40.0000,35.8000,29.9667,1.3348,11,10,0.7097,1.1061,1.0402,0.7482,0.6396,2.2533,2.1081
166,40.0000,35.4667,29.4333,1.3590,12,11,0.7271,1.2597,1.1609,0.7649,0.6176,2.2813,2.1070
167,40.0000,38.5000,31.9000,1.2539,16,15,0.6061,1.0459,0.9195,0.5741,0.5928,2.3618,2.2676
168,40.0333,34.3667,28.6667,1.3965,13,12,0.6640,1.0545,1.4938,0.7084,0.6270,3.8978,2.4124
169,40.0000,40.0000,32.3000,1.2384,18,17,0.8772,1.0786,1.3710,0.7434,0.6261,3.3027,2.0687
170,27.2667,27.1000,24.5000,1.1129,7,6,0.1252,0.7121,0.7791,0.2504,0.3923,5.5023,4.5856
