episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
49,40.0333,40.0333,35.8333,1.1172,11,10,0.0921,0.3253,1.6698,0.1075,0.2240,8.2967,4.4275,3
50,40.0333,39.7333,37.4000,1.0704,9,8,0.0651,0.2473,0.8311,0.1227,0.2468,2.0422,2.9308,3
51,40.0333,40.0333,37.9333,1.0554,9,8,0.0571,0.2976,1.1314,0.1188,0.3496,2.4492,2.3173,3
52,40.0000,39.2667,37.1333,1.0772,10,9,0.0601,0.2300,0.6253,0.0751,0.2648,7.4864,5.3456,3
53,40.0000,39.5667,34.3000,1.1662,16,15,0.1351,0.3247,0.7600,0.0942,0.2345,3.4895,3.9688,3
54,40.0333,40.0333,37.1000,1.0791,14,13,0.0907,0.3115,0.8749,0.0999,0.2262,12.4387,9.7827,3
55,40.0333,39.7667,35.5667,1.1256,15,14,0.1190,0.2965,0.7367,0.1133,0.2509,3.1240,4.1715,3
56,40.0333,38.4333,35.1000,1.1406,14,13,0.1130,0.2947,0.8454,0.1060,0.2456,1.7732,1.8734,3
57,40.0000,39.4000,30.7667,1.3001,21,20,0.1961,0.3376,1.0722,0.0963,0.2270,2.0382,2.7416,3
58,40.0000,34.6000,31.9333,1.2526,12,11,0.0929,0.3553,1.2759,0.1124,0.2687,1.7970,2.1723,3
59,40.0333,39.9333,36.4000,1.0998,12,11,0.0842,0.2839,1.0308,0.0861,0.2090,3.6520,4.5441,3
60,40.0000,38.8333,33.6667,1.1881,17,16,0.1475,0.2552,0.8979,0.0917,0.2491,1.7708,2.4747,3
61,40.0333,40.0333,34.5667,1.1581,14,13,0.1196,0.2831,0.7886,0.0875,0.1662,1.9772,2.6272,3
62,40.0000,39.6667,38.4000,1.0417,9,8,0.0477,0.3171,0.6998,0.0946,0.2259,3.4418,2.6020,3
63,40.0000,38.6667,33.5667,1.1917,13,12,0.1132,0.3020,1.0292,0.1241,0.2813,4.6281,2.3521,3
64,40.0000,39.5000,37.0000,1.0811,12,11,0.0748,0.3598,1.1721,0.0914,0.2712,3.2205,3.1162,3
65,40.0000,38.3000,34.2333,1.1685,18,17,0.1363,0.2694,0.9440,0.0745,0.1993,2.1195,1.5887,3
66,40.0333,38.0333,32.0667,1.2484,16,15,0.1403,0.3483,0.7822,0.1027,0.2517,2.6279,2.0044,3
67,40.0000,39.7333,36.1667,1.1060,15,14,0.1032,0.2935,0.8326,0.0962,0.2323,2.6760,2.3571,3
68,40.0333,39.3333,36.7000,1.0908,11,10,0.0727,0.2888,0.9039,0.1252,0.2395,1.7514,2.2254,3
69,40.0333,38.9333,37.4333,1.0695,8,7,0.0525,0.2311,0.9327,0.0938,0.2641,1.8492,2.1520,3
70,40.0000,39.4333,35.3000,1.1331,14,13,0.1039,0.3016,1.0114,0.0805,0.3131,1.7968,2.7118,3
71,40.0333,39.3333,34.3667,1.1649,13,12,0.1222,0.3281,1.1480,0.1155,0.2180,2.2574,2.1241,3
72,40.0000,39.4000,36.6333,1.0919,11,10,0.0828,0.3074,1.0091,0.1470,0.2565,5.1324,2.9654,3
73,40.0333,40.0333,38.6333,1.0362,10,9,0.0587,0.2058,0.7810,0.0935,0.3604,7.3250,3.6131,3
74,40.0000,38.8667,36.8000,1.0870,8,7,0.0607,0.2500,0.9053,0.1173,0.2042,6.7510,3.8955,3
75,40.0333,38.3333,37.5333,1.0666,7,6,0.0480,0.3295,0.6715,0.1308,0.3437,8.6713,7.1828,3
76,40.0333,38.4667,35.1000,1.1406,11,10,0.0921,0.2435,0.7040,0.1180,0.2670,5.8116,3.2415,3
77,40.0000,40.0000,37.7000,1.0610,11,10,0.0663,0.3863,1.0889,0.0947,0.2633,4.4937,2.9864,3
78,40.0000,37.4667,35.1000,1.1396,10,9,0.0750,0.1904,0.6380,0.0728,0.1830,2.4310,2.7702,3
79,40.0333,40.0333,37.1000,1.0791,8,7,0.0602,0.4200,1.3942,0.0858,0.2114,5.5533,3.1853,3
80,40.0333,39.7333,37.4667,1.0685,11,10,0.0632,0.2613,0.6829,0.0679,0.2224,2.5637,2.4414,3
81,40.0333,39.7667,36.9667,1.0830,12,11,0.0775,0.3292,0.8282,0.1377,0.2996,2.8448,3.3787,3
82,40.0000,39.9000,37.8667,1.0563,9,8,0.0607,0.2037,0.7143,0.1113,0.2819,3.9570,3.7602,3
83,40.0333,40.0333,36.8333,1.0869,10,9,0.0733,0.3714,0.9110,0.1395,0.2743,5.2232,4.2988,3
84,40.0333,40.0333,39.1333,1.0230,6,5,0.0264,0.2516,0.9190,0.0709,0.3718,6.2144,3.6772,3
85,40.0000,39.3333,37.3000,1.0724,9,8,0.0527,0.1633,0.6421,0.1030,0.2264,6.2220,3.7492,3
86,40.0333,39.8333,38.1667,1.0489,7,6,0.0393,0.2045,0.8011,0.1031,0.3673,4.3135,2.7623,3
87,40.0333,40.0333,36.2333,1.1049,14,13,0.0892,0.1866,0.7767,0.1013,0.2656,2.7766,2.5649,3
88,40.0333,39.0333,37.2667,1.0742,9,8,0.0617,0.2383,0.7202,0.0812,0.2050,1.9636,2.2119,3
89,40.0000,40.0000,36.9667,1.0821,7,6,0.0541,0.3811,0.3888,0.0915,0.2199,5.6722,2.9162,3
90,40.0333,39.9000,36.6333,1.0928,14,13,0.1074,0.3251,0.8235,0.1023,0.1958,3.8564,2.9763,3
91,40.0000,39.9000,36.5667,1.0939,13,12,0.0848,0.3359,0.9947,0.1255,0.3162,3.2744,3.2282,3
92,40.0000,39.1333,36.3000,1.1019,13,12,0.0918,0.2807,0.7593,0.1704,0.2499,2.6537,2.3061,3
93,40.0000,39.4333,34.5333,1.1583,16,15,0.1236,0.1771,0.6762,0.0852,0.2063,1.9991,2.1951,3
94,40.0333,40.0333,35.8667,1.1162,13,12,0.1171,0.3297,0.6642,0.1709,0.2606,4.8518,3.1529,3
95,40.0333,40.0333,35.6667,1.1224,14,13,0.1075,0.2474,0.6490,0.0814,0.2070,2.5099,2.3818,3
96,40.0333,38.6667,32.9333,1.2156,16,15,0.1457,0.2450,0.6679,0.1161,0.2321,1.8663,2.2756,3
97,40.0333,39.2667,36.3333,1.1018,14,13,0.1009,0.3910,1.0741,0.1597,0.2732,2.7463,2.4763,3
98,40.0333,39.2000,36.4667,1.0978,11,10,0.0786,0.1651,0.9115,0.0879,0.2059,3.4238,2.2310,3
99,40.0000,36.8667,35.9000,1.1142,6,5,0.0436,0.1977,0.8485,0.0986,0.1976,2.4062,2.0959,3
100,40.0333,40.0333,38.8000,1.0318,9,8,0.0558,0.2441,0.9770,0.1474,0.2800,6.4021,3.4801,3
101,40.0333,39.2333,38.2333,1.0471,8,7,0.0497,0.1286,0.6892,0.0845,0.1868,3.2504,4.4082,3
102,40.0333,39.8000,38.9333,1.0283,5,4,0.0248,0.1974,0.8641,0.0724,0.3645,5.6459,3.2563,3
103,40.0000,39.3000,36.3333,1.1009,10,9,0.0697,0.2497,1.2304,0.0882,0.1858,5.0966,3.3296,3
104,40.0333,39.8667,38.7000,1.0345,7,6,0.0388,0.1173,0.4118,0.0786,0.1569,2.6541,2.2900,3
105,40.0000,39.0667,36.9333,1.0830,9,8,0.0496,0.2999,0.8686,0.1104,0.4654,6.4268,3.4715,3
106,40.0333,40.0333,39.1667,1.0221,6,5,0.0323,0.4127,1.6552,0.1577,0.2767,6.3761,3.6112,3
107,40.0000,39.8000,35.5667,1.1246,8,7,0.0731,0.2492,0.8649,0.1000,0.2297,2.0094,2.9736,3
